"","Code","company","details","date","close","x52_high","x52_low","x200_ma","x52_chg_pct","price_vol","avg_vol","pe_z","pe_ratio_ttm","pbr_z","price_book_mrq","market_cap_millions","shares_market_cap","shares_outstanding_millions","return_on_equity_ttm_percent","der_z","total_debt_equity_mrq","profit_margin_percent","operating_margin_ttm_percent","enterprise_value_ebitda","qgyoy_adjusted","qrgyoy_z","qrgyoy","quarterly_revenue_growth_yoy_percent"
"55","CTM.AX","Centaurus Metals","Centaurus Metals Limited is an Australia-based company, which is engaged in exploration and evaluation activities related to mineral resources. The Company operates through the exploration of minerals segment. Its projects include Aurora Copper Project; Mombuca Gold project; Conquista Direct Ship Ore (DSO) Iron Ore Project, and Jambreiro Iron Ore Project. Its Aurora Copper Project is located in the north-eastern region of Brazil in the State of Ceara, approximately 350 kilometers south of the State Capital Fortaleza. Its Mombuca Gold project focuses on gold and iron-ore mineralization, and is located in the State of Minas Gerais, Brazil. Its Conquista DSO Iron Ore Project consists of a portfolio of tenements located in the State of Minas Gerais, Brazil. Its Jambreiro Iron Ore Project, located in south-east Brazil, is a shovel-ready development project that is licensed for approximately three million tons per annum (Mtpa) of wet production.",2021-02-12,0.8,0.96,0,0.62,6361.54,1.55,862755,-0.19,0,3.09,35.2,288.32,0.88,327.64,-148.8,-0.26,1.12,0,-1497.08,-32.59,537.5,1.47,139,537.5
"56","CHN.AX","Chalice Mining Limited","Chalice Mining Ltd, formerly Chalice Gold Mines Limited, is an Australia-based mining company. The Company is engaged in mineral exploration and Platinum Group Element-Nickel-Copper-Cobalt-Gold discovery. The Company's projects include Pyramid Hill Gold Project, which is located in Victoria, Australia; Julimar Nickel-Copper-PGE Project, which is located in Avon Region, Western Australia and Hawkstone Nickel-Copper-Cobalt Project, which is located in west Kimberley region of Western Australia.",2021-02-12,4.48,4.92,0.14,3.03,1493.22,1.58,2338379,-0.19,0,2.21,26.65,1603,4.69,341.82,-30.3,-0.27,0.11,0,-2598.9,-118.72,41.3,0.64,94,41.3
"57","CIA.AX","Champion Iron","Champion Iron Limited, formerly Mamba Minerals Limited, is engaged in the exploration and development of iron ore properties in Quebec, Canada. The Company's projects include Consolidated Fire Lake North Project, Snelgrove Lake Project, Powderhorn Lake Project and Gullbridge Property. The Company owns interest in over 12 properties covering approximately 847.5 square kilometers located in the Fermont Iron Ore District of northeastern Quebec. The Snelgrove Lake Project is located in western Labrador and is approximately 55 kilometers southeast of the community of Schefferville, Quebec and approximately 200 kilometers north of Labrador City, Labrador. Powderhorn Lake Project consists of approximately 148 claims covering an area of over 37 square kilometers situated in the Buchans-Robert's Arm Belt in Central Newfoundland. Gullbridge Property consists of approximately 179 claims covering over 45 square kilometers situated in the Buchans Robert's Arm Belt in Central Newfoundland.",2021-02-12,5.42,5.84,1.36,4,138.84,1.12,1187917,-0.19,0,2.24,26.97,2574,5.26,489.27,63.65,0.2,35.73,30.81,0,0,92.6,0.96,111,92.6
"58","CHZ.AX","Chesser Resources","Chesser Resources Limited is engaged in undertaking exploration activities in relation to the Kurnalpi project in Western Australia. The Company's segments include Kurnalpi Project and Corporate. The Kurnalpi Project segment includes Kurnalpi Project, which is located at Kurnalpi approximately 60 kilometers northeast of Kalgoorlie. The Kurnalpi Project tenements cover Archaen ultramafic/mafic sequences, which are prospective for both nickel sulfide and lode gold mineralization. The Company's subsidiaries include EBX Holdings Pty Ltd, Chesser Resources Holding Cooperatief U.A. and Dharana B.V.",2021-02-12,0.2,0.32,0.04,0.22,85,1.27,1067873,-0.19,0,0.34,8.48,63.83,0.14,449.57,-17.66,-0.27,0,0,-7765.98,-80.41,0,-1.07,1,0
"59","CLV.AX","Clover Corp","Clover Corporation Limited is an Australia-based company, which is engaged in the refining and sale of natural oil. The Company is also engaged in the production of encapsulated powders, and the research and product development of functional food and infant nutrition ingredients. It focuses on developing nutrients for use in foods or as nutritional supplements. The Company provides lipid-based ingredients for the food industry. It focuses on the delivery of bioactive ingredients using encapsulation technology to produce ready-to-blend products containing tuna oil and other nutritional lipids. The Company offers an encapsulated oil and a food grade high docosahexaenoic acid (DHA) oil. It has a technology license for the encapsulation of marine and algal oils. The Company has a manufacturing plant for tuna oils and related products in Altona, Victoria. Its geographical segments include Australia/New Zealand, Asia, Europe and America.",2021-02-12,1.4,3,1.33,1.86,-52.38,0.9,434562,0.56,18.18,-0.14,3.89,223.69,1.35,166.31,24.32,0.06,25.39,14.15,20.8,12.1,19.4,0.35,78,19.4
"60","COB.AX","Cobalt Blue Holdings Limited",NA,2021-02-12,0.34,0.47,0.08,0.15,176.92,2.6,1568808,-0.19,0,-0.26,2.73,81.91,0.33,248.22,-12.1,-0.04,17.74,0,-1718.55,-32.75,470.4,1.45,138,470.4
"61","CBE.AX","Cobre Limited","Cobre Ltd is an Australia-based company focused on developing various exploration and/or mining opportunities in the resources sector. The Company’s projects include Perrinvale Project and Sandiman Project. The Perrinvale Project covers approximately 381 kilometer (km) square of the Panhandle and Illaara Greenstone Belts in Western Australia. The Perrinvale Project is located in the northern part of the Southern Cross Domain of the Youanmi Terrane in the central part of Western Australia’s Yilgarn Craton. The Sandiman Project is located in the Upper Gascoyne Shire and straddles the south-eastern corner of the Mt Sandiman 1:100k geology map sheet, and the north-eastern corner of the Lyons River 100k geology map sheet. The Sandiman Tenement consists of a single exploration license covering an area of approximately 202km square.",2021-02-12,0.21,0.3,0.09,0.19,-19.23,1.11,168659,-0.19,0,-0.29,2.39,21.95,0.21,104.52,-40.34,-0.27,0,0,0,-8.38,0,-1.07,1,0
"62","COD.AX","Coda Minerals Ltd","Coda Minerals Ltd is an Australia-based mineral exploration company. The Company is focused on the exploration, discovery and development of minerals in the base metals, precious metals and battery minerals sector. The Company is engaged in exploration and development activity in Elizabeth Creek Copper Project. The Elizabeth Creek Copper Project is centered approximately 35 kilometers (km) south-east of Woomera and 135 km north-west of Port Augusta in South Australia. The project currently covers 739 square kilometers in the Olympic Dam Copper Province.",2021-02-12,0.3,0.51,0.24,0.33,-34.09,0.82,169205,-0.19,0,-0.36,1.72,25.23,0.3,85.52,-108.94,-0.25,1.73,0,0,-1.91,0,-1.07,1,0
"63","CSD.AX","Consolidated Tin Mines","Consolidated Tin Mines Limited is an Australia-based base metal miner/producer. The Company produces over 150 metric tons (Mt) a day of zinc, lead and copper concentrates with silver and gold co-product. Its base metal producing operation is at Mount Garnet North Queensland. The Company owns two underground mines: Surveyor and Mount Garnet. The Company is working towards the completion of a Definitive Feasibility Study on the Gillian tin project, which is within nine kilometers of the Company owned operating base metals mill. The Gillian Tin Deposit has 2.5Mt at 0.78% tin (Sn) JORC Resource. The overall Mount Garnet tin project has over 12 Mt of JORC Resources. The Company mines approximately 35,000 tons a month of polymetallic ore from the Mount Garnet underground mine. The Company holds historic alluvial tin deposits particularly in the Lynd/Tate area. The Company holds over 4,000 square kilometers of tenements in the Mt Garnet/Greenvale/Einasleigh region.",2021-02-12,0.12,0.17,0.12,0.12,-21.88,0.42,0,-0.19,0,-0.32,2.12,82.48,0.13,659.81,-109.85,1.56,138.48,-152.75,-143.06,-4.32,-1.477,-0.26,45,147.7
"64","C6C.AX","Copper Mountain Mining Corporation","Copper Mountain Mining Corporation is a copper-gold producing company. The Company is engaged in the business of mineral exploration, development and operation of mineral deposits. The Company, through its subsidiary, has interests in the Copper Mountain Mine. The Copper Mountain mine project is situated 20 kilometers south of Princeton, British Columbia, and 300 kilometers east of the port of Vancouver. The Copper Mountain mine project consists of approximately 140 Crown granted mineral claims, over 150 located mineral claims, over 10 mining leases and over 10 properties, covering an area of approximately 70 square kilometers. Its Copper Mountain mine project is a conventional open pit, truck and shovel operation. Its mining equipment fleet includes two Komatsu PC 8000 hydraulic shovels, a Hitachi EX 5500 hydraulic shovel, over 10 Komatsu 240 ton capacity haul trucks, seven Euclid 260 ton haul trucks, a Komatsu WA 1200 loader and four Komatsu D375 dozers.",2021-02-12,2.35,2.6,0.34,1.4,230.94,1.61,70560,2.04,54.19,-0.29,2.4,508,2.45,207.5,-4.54,1.38,125.11,-3.84,0,0,-0.515,-0.48,33,51.5
"65","CSE.AX","Copper Strike Ltd","Copper Strike Limited is a mineral exploration and development company. The Company is engaged in mineral exploration within Australia and managing its investment in Syrah Resources Limited. The Company operates as an explorer for base precious metals within Australia. The Company's primary objective is to manage copper strike shareholder value in their asset. The Company operates in Melbourne, Victoria.",2021-02-12,0.12,0.15,0.02,0.07,118.18,1.86,81813,0.76,23,-0.17,3.59,12.29,0.12,106.84,9.5,-0.27,0,51.56,-26.43,0,12.9,0.24,72,12.9
"66","CXO.AX","Core Lithium Ltd","Core Lithium Ltd, formerly Core Exploration Limited, is a lithium exploration company. The Company is engaged in the exploration of lithium, copper (+/- silver and uranium) deposits in Northern Territory and South Australia. Its Lithium Projects include Finniss Lithium Project, which is located in the lithium-rich Bynoe Pegmatite Field, and Anningie and Barrow Creek Project, which encompasses four exploration license applications covering approximately 2,500 square kilometers in and around the Anningie and Barrow Creek Tin-Tantalum-Pegmatite fields. Its zinc projects include Yerelina Project, which hosts a zinc system covering a total area of 1,000 square kilometers in northern South Australia. Its silver, lead, zinc projects include Blueys and Inkheart Prospects. Its copper projects include Jervois Domain, including EL 29579, EL 29580, EL 29581 and EL 29669 tenements. Its uranium projects include Fitton Project, which is located in a uranium-mining region in South Australia.",2021-02-12,0.25,0.42,0.01,0.1,544.74,4.1,14456310,-0.19,0,0.15,6.71,227.88,0.23,1000,-13.83,-0.27,0.36,0,-2070.88,-69.63,175.6,1.18,123,175.6
"67","CY5.AX","Cygnus Gold Limited","Cygnus Gold Ltd is an Australia-based gold and base metals exploration company. The Company is targeting the discovery of gold and base metals deposits within the Southwest Terrane, in the Wheatbelt region of Western Australia. The Company’s projects include Stanley, Bencubbin, Bencubbin North, Bullock North, Burracoppin, Burracoppin North, Kulin, and Gold Road JV. The Company’s approximately 580 square kilometers (km2) Stanley Project covers more than 20 kilometers (km) strike length of prospective greenstone including numerous prospects where previous explorers intersected gold mineralization. The Bencubbin Project includes three granted tenements, such as E70/4988, Bencubbin, E70/5169, Bencubbin North and E70/5168, Bencubbin South covering the Bencubbin Greenstone Belt.",2021-02-12,0.17,0.26,0.02,0.18,309.09,1.33,110121,-0.19,0,-0.28,2.47,19.45,0.18,108.07,-10.16,-0.27,0,-131.8,-124.14,-74.94,-1.474,-0.26,45,147.4
"68","CYM.AX","Cyprium Metals Limited","Cyprium Metals Limited is an Australia-based company focused on acquiring, developing and operating exploration projects in Australia. The Company’s project includes Cue Copper Project and the Nanadie Well Copper Gold Project. The Company has an interest in the non-gold rights with Musgrave Minerals Limited at the Cue Copper Project, which is located over 20 kilometers (km) to the east of Cue, in the Murchison region of Western Australia. The Cue Copper Project is centered around the Hollandaire West and Hollandaire copper mineralization. The Nanadie Well Project is located approximately 650km northeast of Perth and over 75 km southeast of Meekatharra in the Murchison District of Western Australia, within mining lease M51/1040.",2021-02-12,0.23,0.28,0.09,0.2,4.35,0.95,560015,-0.19,0,-0.28,2.5,25.63,0.26,98.57,-27.31,-0.26,1.43,0,-13772.51,-9.29,0,-1.07,1,0
"69","DTM.AX","Dart Mining NL","Dart Mining NL is an Australia-based company engaged in exploring, evaluating and developing Orogenic Gold, Porphyry Gold and Lithium opportunities in North East Victoria. The Company's gold prospects include Mountain View, Rushworth, Fairley's, New Discovery, Onslow and Empress Lodes. The Mountain View prospect is located approximately 35 kilometers southwest of Corryong within the Company's Dart Goldfield. The Fairleys prospect is located approximately 17 kilometers southwest of Bright within EL4724. The Empress Gold Lodes at Granite Flat are hosted within the Banimboola Quartz Monzodiorite approximately nine kilometers southeast of Mitta Mitta. The Onslow Reef workings are made up of a small isolated cluster of workings, located approximately eight kilometers south of Unicorn within EL4726. The mineralization at Onslow Reef is generally narrow and composed of quartz-sulfide lodes with true widths between 0.7 and 1.5 meters.",2021-02-12,0.16,0.27,0.04,0.19,161.9,1.21,107084,-0.19,0,-0.41,1.24,17.99,0.18,99.95,-5.46,-0.27,0,0,-2331.32,-23.38,18.4,0.33,77,18.4
"70","DM1.AX","Desert Metals Limited","Desert Metals Limited is an Australia-based mineral exploration company. The Company holds Narryer Project, which is located approximately 120 kilometers northwest of the town of Meekathara and on the northwest margin of the Yilgarn Craton in Western Australia. The Narryer Project comprises approximately nine granted exploration licenses covering a combined area of over 1,600 square kilometers. The Narryer Project is made up of tenements prospective for nickel sulphide and gold mineralization. Its exploration licenses include Opal Bore, Innouendy, Irrida Hill, Irrida East, Breakaway, Dingo Pass, Mt Gould, Hooper and Belele prospects. The Opal Bore, Innouendy, Irrida Hill, Irrida East, Breakaway, Dingo Pass and Mt Gould has nickel, copper and gold prospects. The Hooper has nickel and copper prospects. The Belele has copper, lead, zinc and gold prospects.",2021-02-12,0.6,0.74,0.41,0.57,17.31,0.58,395250,-0.19,0,3.88,42.86,33,0.6,55,-39.35,-0.27,0,0,0,-434.34,0,-1.07,1,0
"71","DGO.AX","DGO Gold Limited","DGO Gold Limited is engaged in evaluation and exploration of mineral deposits in sediment hosted gold deposits in Australia. The Company is involved in acquiring exploration tenements on gold, copper and zinc exploration. The Company has applied for approximately three sediment hosted gold target areas in the Eastern Goldfields of Western Australia at Mt Edwards, Black Flag and Ora Banda South West. The Mt Edwards is an exploration license application, consisting of over nine contiguous sub blocks, located to the east of the Coolgardie-Norseman highway, approximately 15 kilometers north of the township of Widgiemooltha. The Black Flag is an exploration license application, consisting of over six contiguous sub blocks, to the west of the Kalgoorlie-Menzies highway, approximately 20 kilometers North West of Kalgoorlie. The Ora Banda South West consists of over 10 contiguous prospecting licenses, approximately seven kilometers south west of the township of Ora Banda.",2021-02-12,2.62,4.66,1.18,3.16,50,1.1,21684,-0.19,0,-0.23,3.04,213.3,2.9,73.55,-0.26,-0.27,0.62,-51.8,-1316.03,-88.1,-0.669,-0.41,37,66.9
"72","DME.AX","Dome Gold Mines","Dome Gold Mines Limited is a mining company. The Company is engaged in the exploration and evaluation of its projects in Fiji. It focuses on gold, copper and mineral sands in Fiji. Through its subsidiaries, Dome Mines Ltd and Magma Mines Ltd, it holds interests in three special prospecting licenses (SPLs) in Fiji: SPL 1495 (Sigatoka Iron Sand Project), SPL 1451 (Kadavu Island Project) and SPL 1452 (Nadrau Project). The SPL 1495 Sigatoka Iron Sand Project covers an area of approximately 2,522.69 hectares on the south coast of Viti Levu, and is located approximately 80 kilometers south of Nadi and over 120 kilometers west of the capital, Suva. The SPL 1451 Kadavu Island Project covers over 3,030 hectares and is located in the southern part of Fiji on Ono Island. The SPL 1452 Nadrau Project covers over 33,210 hectares on the main island of Viti Levu, Fiji. The SPL 1452 Nadrau Project contains two copper-gold-silver ionic leach geochemical anomalies (Namoli and Wainivau prospects).",2021-02-12,0.17,0.2,0.1,0.18,-10.53,0.56,9166,-0.19,0,-0.38,1.57,50.44,0.17,296.71,-6.42,-0.22,4.28,0,0,-27.13,0,-1.07,1,0
"73","DEX.AX","Duke Exploration Limited","Duke Exploration Limited is an Australia-based exploration company. The Company holds interests in exploration tenements for copper, gold and silver exploration areas located in Queensland and New South Wales, Australia. Its projects include Bundarra Project, Prairie Creek Project and Red Hill Project. The Bundarra Project is located approximately 130 kilometers southwest of Mackay and over 50 kilometers east of Moranbah, in Central Queensland. The Bundarra Project covers an area of approximately 289.79 square kilometers. Prairie Creek Project is located approximately 120 kilometers southwest of Gladstone and over 25 kilometers southwest of Biloela, in central Queensland. The Red Hill Project is centered approximately 70 kilometers north north-west of Canberra, north and east of Yass. The Red Hill Project tenement covers an area of approximately 180 square kilometers.",2021-02-12,0.32,0.51,0.26,0.34,18.87,0.74,572181,-0.19,0,-0.3,2.35,22.83,0.31,74.85,0,-0.27,0,0,0,-20.13,0,-1.07,1,0
"74","DKM.AX","Duketon Mining Limited","Duketon Mining Limited is an Australia-based company, which is engaged in the exploration and evaluation of mineral resources. The Company's projects include Duketon project, Eastern Goldfields projects and minority interest projects. The Duketon project consists of landholding over the Duketon Greenstone Belt. The Duketon project consists of over 2,000 square kilometers of contiguous granted and pending tenure located 80 kilometers to 120 kilometers north of Laverton in Western Australia. The Company holds tenements, such as the Diorite Hill Project, within the Eastern Goldfields project. The Diorite Hill project tenement is located over 20 kilometers east of Laverton and consists of an exploration license application over the eastern margin of the Merolia Greenstone Belt of the Eastern Goldfields Mineral Province. The Company's minority interest projects include Cardabia project in the western Gascoyne, and Pilgangoora and Western Shaw projects in the northern Pilbara.",2021-02-12,0.32,0.36,0.1,0.27,96.88,0.96,409606,-0.11,1.85,-0.38,1.57,36.33,0.3,121.11,148.49,-0.27,0,0,0,-5.62,0,-1.07,1,0
"75","E2M.AX","E2 Metals Limited","E2 Metals Limited is an Australia-based exploration and development company engaged in the development and exploration of gold and silver. The Company is focused on advancing its flagship asset known as the Neavesville Project. The Company’s projects are Neavesville epithermal gold and silver project, and Mount Hope gold project. The Neavesville epithermal gold and silver project is located in the Huaraki goldfield of New Zealand’s North Island, which is approximately 15 kilometers south-east of the Thames Mine. The Mount Hope gold project is located in the central west of South Wales in the Cobar Basin, which includes four prospects striking North-South namely Mount Solitary, Little Mount Solitary, Powerline Hill, and Mount Solar.",2021-02-12,0.42,1.01,0.06,0.45,151.61,2.11,400136,-0.19,0,0.49,10,59.9,0.4,149.76,-70.88,-0.27,0,0,-847.76,0,470.9,1.45,138,470.9
"76","EM2.AX","Eagle Mountain Mining Limited","Eagle Mountain Mining Limited (Eagle Mountain) is a mining exploration company. The Company mines and explores copper, gold and silver. The Company is focused on exploring its 100%-owned Silver Mountain project in Yavapai County, Arizona. The project is situated approximately 100 kilometers northwest of Phoenix. The Silver Mountain Project encompasses three main prospects: Pacific Horizon, Scarlett and Red Mule, which are 100% wholly owned by its subsidiary Silver Mountain LLC. Pacific Horizon has copper, gold, silver and other base metals value deposits along the horizon; no exploration has been reported on Scarlett project before the establishment of Silver Mountain and Silver Mountain LLC; Red Mule is enriched with gold and porphyry copper minerals.",2021-02-12,0.38,0.5,0.08,0.34,146.43,1.24,355628,-0.19,0,2.56,30,55.52,0.36,154.22,-190.74,11.67,901.53,0,-8787.57,-12.64,0,-1.07,1,0
"77","EGR.AX","EcoGraf Limited","EcoGraf Limited is an Australia-based company, which produces graphite for the lithium-ion battery market. The Company's businesses include battery products, battery recycling and Epanko Graphite Project. The battery products business is engaged in the production of EcoGraf spherical graphite in Western Australia for battery anode manufacturers. The Company's battery recycling business offers graphite purification technology to recycle lithium-ion battery anode materials. The Epanko Graphite Project is a graphite project located approximately 370 kilometers from the city of Dar es Salaam in Tanzania and produces natural flake graphite product. The Epanko Graphite Project supplies feedstock for the spherical graphite processing facilities and provides customers with supply of graphite products for industrial applications, including refractories, recarburisers and lubricants.",2021-02-12,0.96,1.1,0.03,0.21,1310.26,5.1,1618032,-0.19,0,1.26,17.46,362.17,0.99,363.99,-14.19,-0.27,0,0,0,-132.86,0,-1.07,1,0
"78","EQX.AX","Equatorial Resources","Equatorial Resources Limited is an iron ore exploration and development company. The Company's iron ore projects are located in Republic of Congo (ROC). The Company focuses on advancing its existing mineral resource assets in Africa, as well as searching for opportunities in the resources sector. It operates Badondo Iron Project through a subsidiary, Congo Mining Exploration Ltd SARL (CME). The Badondo Iron Project is located in the northwest region of Republic of Congo. It focuses on targeting direct shipping ore (DSO) hematite at Badondo. It has approximately 10 drill holes, which intersects hematite mineralization over 50% Iron (Fe). The near surface down hole intersections include 41.9 meters at 62.9% Iron (Fe) in BADDD0001; 40.4 meters at 65.6% Iron (Fe) in BADDD0002; 26.4 meters at 61.9% Iron (Fe) in BADDD0003, and 13.5 meters at 61.5% Iron (Fe) in BADDD0004.",2021-02-12,0.32,0.4,0.21,0.31,23.08,0.61,111902,-0.19,0,-0.44,0.94,41.07,0.33,124.44,-0.45,-0.27,0,0,0,0,0,-1.07,1,0
"79","ERW.AX","Errawarra Resources Ltd","Errawarra Resources Ltd is an Australia-based company mineral exploration company, which is engaged in exploring and developing gold, nickel, copper and cobalt mineral properties. The Company holds interests in various projects, including Fraser Range Project, Binti Binti Project, and Errabiddy Project. The Fraser Range Project is mineralized in nickel, copper and cobalt, which is located approximately 130-kilometer (km) east of Norseman, Western Australia and covers an area of approximately 105km within the Dundas and Warburton Mineral Fields. The Binti Binti Project is located approximately 75km north-northeast of Kalgoorlie, Western Australia and covers an area of approximately 42km within the Kanowna Mineral Field. The Errabiddy Project is in the Gascoyne Region of Western Australia approximately 190km northwest of Meekatharra and 360km east of Carnarvon and within the Shires of Upper Gascoyne and Murchison. Its Errabiddy Project is mineralized in orogenic gold and nickel-copper.",2021-02-12,0.21,0.25,0.19,0.21,-6.82,0.29,366895,-0.19,0,-0.54,0,7.63,0.21,37.21,0,-0.27,0,0,0,0,0,-1.07,1,0
"80","EMN.AX","Euro Manganese Inc","Euro Manganese Inc is a Canada-based mineral resource company. The Company is focused on the evaluation and development of the Chvaletice Manganese Project, which entails re-processing a manganese deposit hosted in historic mine tailings, located in the Czech Republic. The Chvaletice Manganese Project is located 90 kilometers from Prague, in the Czech Republic, a tier-one jurisdiction with infrastructure, including rail, highway, natural gas and water, and adjacent to a power plant in the Czech national electrical grid. The Company aims its investments towards serving the lithium-ion battery industry, as well as producers of specialty steel and aluminum alloys.",2021-02-12,0.64,0.96,0.06,0.34,330,2.65,2905046,-0.19,0,0.78,12.76,204.05,0.64,319.07,-58.34,-0.27,0.4,0,0,0,0,-1.07,1,0
"81","EMH.AX","European Metals Holdings",NA,2021-02-12,1.26,1.55,0.13,0.7,360.71,2.03,345455,2.67,69.47,0.62,11.28,227.57,1.32,172.15,-30.19,-0.27,0,1217.68,-2165.62,-42.33,0,-1.07,1,0
"82","EVN.AX","Evolution Mining","Evolution Mining Limited is a gold company. The Company is engaged in operating, identifying and developing gold-related mining projects in Australia and New Zealand. It owns and operates five wholly-owned mines: Cowal in New South Wales; Mt Carlton, Mt Rawdon, and Cracow, in Queensland; and Mungari in Western Australia. In addition, the Company holds an economic interest in the Ernest Henry copper-gold mine. The Cowal gold operation is an open-pit gold operation located 350 kilometers (km) west of Sydney. Its Mt Carlton operation is located 150km south of Townsville, Queensland. The Mungari gold operation is located 600km east of Perth and 20km west of Kalgoorlie in Western Australia. The Ernest Henry copper-gold operation is operated by Glencore.",2021-02-12,4.62,6.58,3.29,5.44,7.46,0.6,8456002,0.91,26.59,-0.21,3.24,7997,4.68,1710,12.38,0.05,24.56,15.53,30.25,8.07,38.5,0.62,93,38.5
"83","FEX.AX","Fenix Resources Ltd","Fenix Resources Limited, formerly Emergent Resources Limited, is an Australia-based company, which is engaged in exploration for iron, base metals and precious metals in Western Australia. The Company holds interest in the Beyondie Project in the mid-west region of Western Australia. The Company's Beyondie Iron Project is located adjacent to the Great Northern Highway and Goldfields Gas Pipeline in the northern part of Western Australia's mid-west iron ore precinct. The Company is engaged in developing iron-ore tenement, E52/2215, in the Beyondie Iron Project. The Company's E52/2215 ((iron ore, vanadium and manganese) covers approximately 142 square kilometers and includes over 46 blocks.",2021-02-12,0.24,0.3,0.03,0.18,361.54,1.5,6531590,-0.19,0,0.43,9.42,111.4,0.24,454.71,-16.31,-0.27,0,0,0,-53.03,0,-1.07,1,0
"84","FFX.AX","Firefinch Limited","Firefinch Limited, formerly Mali Lithium Limited, is an Australia-based lithium company focused on the development of the Goulamina Lithium Project in Mali. It operates in two segments, which involve mining exploration for gold and lithium. It operates in Australia and West Africa. The Goulamina Lithium Project comprises a landholding of approximately 100 square kilometers covering hard rock lithium pegmatites in the Bougouni region of southern Mali, approximately 150 kilometers by road from Mali’s capital, Bamako. Apart from its focus on the development of Goulamina Lithium Project, the Company also holds Massigui Gold Project and Dankassa Gold Project. The Massigui Gold Project is situated in southern Mali approximately 280 kilometers by road from the capital, Bamako. The Dankassa Project is situated on the east bank of the Niger River, in southern Mali, approximately 110 kilometers by road south of Bamako, the capital city of Mali. It also operates Morila gold mine in Mali.",2021-02-12,0.24,0.27,0.26,0,0,Inf,0,-0.19,0,-0.2,3.27,207.21,0.27,781.91,-10.25,-0.27,0.26,0,0,-33.41,0,-1.07,1,0
"85","FGR.AX","First Graphene Limited","First Graphene Limited, formerly First Graphite Limited, focuses on mineral exploration. Its segments include Mining and exploration activities, and Corporate services. It is engaged in the exploration and development of high-grade projects in Sri Lanka. It is a developer and producer of high technology graphene materials. Its geographical segments include Australia and Sri Lanka. It holds 13 exploration licenses over 39,500 hectares together with two granted industrial Mining licenses, one at Pandeniya and the other at Aluketiya. The exploration license areas are situated across the areas of Warakapola, Pujapitiya, Palinda Nuwara and Hikkaduwa. The Warakapola project area consists of six licenses covering 8,300 hectares of granted exploration concessions. The Aluketiya Project Area is located in Meegahatenna. The Palinda Nuwara Project Area consists of 54 square kilometers of exploration grids. The Hikkaduwa Project Area consists of 10 square kilometers of exploration grids.",2021-02-12,0.3,0.33,0.06,0.19,68.57,1.42,1510413,-0.19,0,0.81,13.04,159.54,0.3,531.79,-58.54,-0.25,1.84,0,-1908.83,-31.12,1346.1,1.64,148,1346.1
"86","FMS.AX","Flinders Mines","Flinders Mines Limited is an iron ore mining company. The Company has various exploration operations of iron mineralization, gold and base metals. The Company's principal activity is the mineral exploration and development. The Company operates in three segments, which include Pilbara Iron Ore, Canegrass Magnetite and Other Minerals. The Company's projects include Pilbara Iron Ore project and Canegrass project. The Pilbara Iron Ore project is located in the Pilbara region of Western Australia, approximately 60 kilometers north-west of the town of Tom Price. The Pilbara Iron Ore project consists of the Blacksmith and Anvil tenements. The Anvil tenement is located approximately 10 kilometers to the south-west of Blacksmith. The Company's Canegrass project is located near located near Mount Magnet, Western Australia. The Canegrass projects tenement package consists of over six granted exploration licenses.",2021-02-12,1.49,1.73,0.43,1.06,31.73,1.23,31322,-0.19,0,-0.13,3.96,258.34,1.53,168.85,-12.96,-0.21,4.79,0,-26203.45,-33.27,2800,1.84,159,2800
"87","GLN.AX","Galan Lithium Limited","Galan Lithium Ltd is an Australia-based mining development company. The Company is primarily focused of exploring and developing is its lithium brine projects located in the Hombre Muerto Basin in Argentina. The Company holds six projects totaling around 25,000 hectares in the neighborhood for lithium brines. Its operating projects include Hombre Muerto West and Candelas Project in Argentina and Greenbushes South project in Australia. The Hombre Muerto West project is comprised of four concession. Its Greenbushes South project comprises of one exploration license, E70/4629, which covers an area of approximately 43 kilometer (km) square. E70/4629 is approximately 15kms to the south of the Greenbushes mine.",2021-02-12,0.52,0.65,0.11,0.26,126.09,2.08,3129746,-0.19,0,-0.09,4.35,119.85,0.5,239.71,-14.42,-0.27,0,0,-8004.08,-36.6,348,1.38,134,348
"88","GAL.AX","Galileo Mining Limited","Galileo Mining Ltd is an Australia-based mining and exploration company. The Company is engaged in the development and exploration of cobalt, nickel laterite and nickel-copper-cobalt sulphide projects in Western Australia. The Company's flagship projects are the Norseman and Fraser Range projects. The Norseman project consists of granted exploration licences and is prospective for cobalt and nickel. The Fraser Range project consists of licences which are propspective for nickel, copper, and cobalt. The Company holds interest in the FSZ Resources Pty Ltd, NSZ Resources Pty Ltd, and the mining tenements that comprise the Norseman project.",2021-02-12,0.36,0.45,0.1,0.28,118.75,1.25,594895,-0.19,0,-0.28,2.48,49.37,0.35,143.1,-5.08,-0.27,0.42,0,0,-42.19,0,-1.07,1,0
